Publication date,Compute_Log10,Parameters,Domain,Organization,Region
2025-04-25,22.48,1200000000.0,Language & Audio,PleIAs,Europe
2025-04-23,23.64,9000000000.0,Language & Audio,"INSAIT,ETH Zurich",Europe
2025-04-17,20.66,95000000.0,Language & Audio,Darktrace,Europe
2025-04-14,23.86,8000000000.0,Language & Audio,NVIDIA,United States
2025-04-14,24.83,56000000000.0,Language & Audio,NVIDIA,United States
2025-04-14,24.46,32000000000.0,Language & Audio,Tsinghua University,China
2025-04-14,23.91,9000000000.0,Language & Audio,Tsinghua University,China
2025-04-14,24.46,32000000000.0,Language & Audio,"Z.ai (Zhipu AI),Tsinghua University",China
2025-04-11,23.95,7000000000.0,Vision & Media,ByteDance,China
2025-04-10,25.03,135000000000.0,Language & Audio,Huawei,China
2025-04-09,24.87,340000000000.0,Multimodal,"Google DeepMind,Google Research",United States
2025-04-08,24.33,27000000000.0,Multimodal,"Google DeepMind,Google Research",United States
2025-04-08,23.64,9000000000.0,Multimodal,"Google DeepMind,Google Research",United States
2025-04-08,22.51,2600000000.0,Multimodal,"Google DeepMind,Google Research",United States
2025-04-05,24.61,109000000000.0,Multimodal,Meta AI,United States
2025-04-05,24.35,400000000000.0,Multimodal,Meta AI,United States
2025-04-05,25.71,2000000000000.0,Multimodal,Meta AI,United States
2025-03-27,21.68,2600000000.0,Vision & Media,"Shanghai AI Lab,University of Sydney,Chinese University of Hong Kong (CUHK),Shanghai Jiao Tong University,Krea AI",China
2025-03-26,22.88,8685000000.0,Multimodal,Wayve,Europe
2025-03-24,24.52,671000000000.0,Language & Audio,DeepSeek,China
2025-03-18,25.59,253000000000.0,Language & Audio,NVIDIA,United States
2025-03-18,22.85,2190000000.0,Multimodal,NVIDIA,United States
2025-03-18,24.56,7000000000.0,Multimodal,NVIDIA,United States
2025-03-13,24.11,32000000000.0,Language & Audio,Allen Institute for AI,United States
2025-03-12,24.36,27000000000.0,Multimodal,Google DeepMind,United States
2025-03-12,23.94,12000000000.0,Multimodal,Google DeepMind,United States
2025-03-12,22.98,4000000000.0,Multimodal,Google DeepMind,United States
2025-03-12,22.08,1000000000.0,Language & Audio,Google DeepMind,United States
2025-03-11,24.73,560000000000.0,Language & Audio,Tencent,China
2025-03-10,23.17,16800000000.0,Language & Audio,Ant Group,China
2025-03-10,24.19,290000000000.0,Language & Audio,Ant Group,China
2025-03-06,24.55,32500000000.0,Language & Audio,Alibaba,China
2025-03-03,23.0,3800000000.0,Language & Audio,Microsoft,United States
2025-03-03,23.07,5600000000.0,Multimodal,Microsoft,United States
2025-02-25,23.4,14000000000.0,Multimodal,Alibaba,China
2025-02-25,23.87,8000000000.0,Language & Audio,Yandex,Europe
2025-02-24,24.61,30000000000.0,Vision & Media,StepFun,China
2025-02-20,22.91,1140000000.0,Vision & Media,Google DeepMind,United States
2025-02-19,24.35,40300000000.0,Science & Engineering,"Arc Institute,Stanford University,NVIDIA,Liquid,University of California (UC) Berkeley,Goodfire,Columbia University,University of California San Francisco",United States
2025-02-19,23.0,7000000000.0,Science & Engineering,"Arc Institute,Stanford University,NVIDIA,Liquid,University of California (UC) Berkeley,Goodfire,Columbia University,University of California San Francisco",United States
2025-02-19,22.61,2920000000.0,Multimodal,Google,United States
2025-02-19,24.98,72000000000.0,Multimodal,Alibaba,China
2025-02-19,24.0,7000000000.0,Multimodal,Alibaba,China
2025-02-19,23.61,3000000000.0,Multimodal,Alibaba,China
2025-02-18,18.21,400000000.0,Language & Audio,"Meta AI,Universite de Technologie de Compiègne – CNRS,Basque Center on Cognition",United States
2025-02-18,24.28,130000000000.0,Language & Audio,StepFun,China
2025-02-18,23.8,130000000000.0,Language & Audio,StepFun,China
2025-02-18,24.41,130000000000.0,Multimodal,StepFun,China
2025-02-17,26.54,3000000000000.0,Multimodal,xAI,United States
2025-02-08,21.38,13493916736.0,Robotics & Games,"NVIDIA,University of Washington,University of Southern California",United States
2025-02-03,22.29,600000000.0,Science & Engineering,"IBM Research,NASA,University of Alabama,University of Iceland,Forschungszentrum Julich,Virginia Tech (Virginia Polytechnic Institute and State University),Arizona State University,Oregon State University,Boston University,University of California (UC) Berkeley,Julich Supercomputing Center",United States
2025-02-03,21.85,300000000.0,Science & Engineering,"IBM Research,NASA,University of Alabama,University of Iceland,Forschungszentrum Julich,Virginia Tech (Virginia Polytechnic Institute and State University),Arizona State University,Oregon State University,Boston University,University of California (UC) Berkeley,Julich Supercomputing Center",United States
2025-02-03,20.6,7000000000.0,Language & Audio,"Shanghai AI Lab,Tsinghua University,University of Illinois Urbana-Champaign (UIUC),Peking University,Shanghai Jiao Tong University,Chinese University of Hong Kong (CUHK)",China
2025-01-30,24.06,24000000000.0,Language & Audio,Mistral AI,Europe
2025-01-26,22.52,11000000000.0,Multimodal,Baichuan,China
2025-01-22,21.57,149000000.0,Language & Audio,Alibaba,China
2025-01-20,24.54,671000000000.0,Language & Audio,DeepSeek,China
2025-01-20,22.67,8930000000.0,Multimodal,"NVIDIA,Nanjing University,Tsinghua University,Hong Kong Polytechnic University,Johns Hopkins University,New York University (NYU)",United States
2025-01-16,19.43,46800000.0,Science & Engineering,Microsoft Research AI for Science,United States
2025-01-14,24.5,456000000000.0,Language & Audio,MiniMax,China
2025-01-07,24.45,14000000000.0,Multimodal,NVIDIA,United States
2025-01-07,24.15,7000000000.0,Multimodal,NVIDIA,United States
2025-01-07,24.45,14000000000.0,Multimodal,NVIDIA,United States
2024-12-31,23.26,7000000000.0,Language & Audio,"Allen Institute for AI,University of Washington,New York University (NYU)",United States
2024-12-31,23.66,13000000000.0,Language & Audio,"Allen Institute for AI,University of Washington,New York University (NYU)",United States
2024-12-24,24.52,671000000000.0,Language & Audio,DeepSeek,China
2024-12-18,23.26,2500000000.0,Language & Audio,IBM,United States
2024-12-18,23.77,8100000000.0,Language & Audio,IBM,United States
2024-12-15,20.66,335800000.0,Language & Audio,"Shanghai Jiao Tong University,University of Cambridge,Geely Automobile Research Institute (Ningbo) Company",China
2024-12-13,23.0,20000000000.0,Language & Audio,Sber,Europe
2024-12-12,23.97,14000000000.0,Language & Audio,Microsoft Research,United States
2024-12-06,24.84,70000000000.0,Language & Audio,Meta AI,United States
2024-12-05,21.36,8000000000.0,Multimodal,"NVIDIA,Massachusetts Institute of Technology (MIT),University of California (UC) Berkeley,University of California San Diego,University of Washington,Tsinghua University",United States
2024-12-05,21.43,350000000.0,Language & Audio,PleIAs,Europe
2024-12-05,22.47,1200000000.0,Language & Audio,PleIAs,Europe
2024-12-03,23.17,13000000000.0,Vision & Media,Tencent,China
2024-11-29,22.78,10000000000.0,Language & Audio,"Prime Intellect,Hugging Face,Arcee AI",United States
2024-11-22,22.13,1500000000.0,Language & Audio,NVIDIA,United States
2024-11-18,23.63,7000000000.0,Language & Audio,360 Security Technology,China
2024-11-12,24.03,32500000000.0,Language & Audio,Alibaba,China
2024-11-11,21.15,665000000.0,Language & Audio,Earth Species Project,United States
2024-11-06,24.54,389000000000.0,Language & Audio,Tencent,China
2024-11-05,19.5,178045568.0,Multimodal,Recursion Pharmaceuticals,United States
2024-11-01,23.15,8800000000.0,Other,"Tsinghua University,Beijing University of Posts and Telecommunications",China
2024-10-31,19.6,229000000.0,Multimodal,Microsoft Research Asia,China
2024-10-28,20.91,650000000.0,Science & Engineering,"Shanghai Jiao Tong University,Shanghai AI Lab,East China University of Science and Technology,Shanghai Tech University,Guangzhou Inernational Bio Island,Chinese Academy of Sciences,Shanghai Academy of Experimental Medicine",China
2024-10-28,25.4,500000000000.0,Language & Audio,ByteDance,China
2024-10-22,24.48,72000000000.0,Multimodal,NVIDIA,United States
2024-10-22,24.48,72000000000.0,Multimodal,NVIDIA,United States
2024-10-22,24.48,72000000000.0,Multimodal,NVIDIA,United States
2024-10-21,23.77,8100000000.0,Language & Audio,IBM,United States
2024-10-21,23.26,2500000000.0,Language & Audio,IBM,United States
2024-10-20,22.82,2975000000.0,Vision & Media,Rhymes AI,United States
2024-10-10,22.61,1200000000.0,Robotics & Games,Tsinghua University,China
2024-10-08,21.88,2000000000.0,Vision & Media,"Peking University,Kuaishou Technology,Beijing University of Posts and Telecommunications",China
2024-10-08,23.15,24900000000.0,Multimodal,Rhymes AI,United States
2024-10-04,24.22,30000000000.0,Multimodal,Meta AI,United States
2024-10-04,23.15,13000000000.0,Language & Audio,Meta AI,United States
2024-09-25,22.13,72000000000.0,Multimodal,"Allen Institute for AI,University of Washington",United States
2024-09-24,22.59,650000000.0,Science & Engineering,InstaDeep,Europe
2024-09-24,23.76,10600000000.0,Multimodal,Meta AI,United States
2024-09-24,22.82,1230000000.0,Language & Audio,Meta AI,United States
2024-09-24,23.24,3210000000.0,Language & Audio,Meta AI,United States
2024-09-23,19.32,7900000.0,Science & Engineering,"University of Science and Technology of China (USTC),Hefei Comprehensive National Science Center,Harvard University,Broad Institute,Harvard Data Science Initiative",China
2024-09-20,24.84,115000000000.0,Language & Audio,China Telecom,China
2024-09-20,19.85,2300000000.0,Science & Engineering,"IBM Research,University of Alabama,Stanford University,Colorado State University,Oak Ridge National Laboratory,NASA",United States
2024-09-19,24.89,72700000000.0,Language & Audio,Alibaba,China
2024-09-19,24.89,72700000000.0,Language & Audio,Alibaba,China
2024-09-19,23.52,3090000000.0,Language & Audio,Alibaba,China
2024-09-19,23.91,7610000000.0,Language & Audio,Alibaba,China
2024-09-19,23.22,1540000000.0,Language & Audio,Alibaba,China
2024-09-19,24.2,14700000000.0,Language & Audio,Alibaba,China
2024-09-19,23.94,7000000000.0,Language & Audio,Alibaba,China
2024-09-19,23.24,1500000000.0,Language & Audio,Alibaba,China
2024-09-18,23.78,72000000000.0,Multimodal,Alibaba,China
2024-09-18,22.23,2000000000.0,Multimodal,Alibaba,China
2024-09-18,22.83,8000000000.0,Multimodal,Alibaba,China
2024-09-18,23.4,7610000000.0,Language & Audio,Alibaba,China
2024-09-18,22.71,1540000000.0,Language & Audio,Alibaba,China
2024-09-17,24.55,32500000000.0,Language & Audio,Alibaba,China
2024-09-13,20.41,17800000.0,Science & Engineering,"Shandong University,BioMap Research,Fuzhou University,Shanghai Jiao Tong University",China
2024-09-13,19.04,32000000.0,Science & Engineering,"CentraleSupelec,Gustave Roussy,Université Paris Cité",Europe
2024-09-12,20.69,335000000.0,Language & Audio,Microsoft,United States
2024-09-09,21.63,734000000.0,Science & Engineering,Carnegie Mellon University (CMU),United States
2024-09-08,21.56,217000000.0,Robotics & Games,Google DeepMind,United States
2024-09-06,24.25,236000000000.0,Language & Audio,DeepSeek,China
2024-09-03,22.71,7000000000.0,Language & Audio,"Allen Institute for AI,Contextual AI,University of Washington,Princeton University",United States
2024-08-27,20.89,1300000000.0,Language & Audio,"MIT-IBM Watson AI Lab,Massachusetts Institute of Technology (MIT)",United States
2024-08-27,19.49,340000000.0,Language & Audio,"MIT-IBM Watson AI Lab,Massachusetts Institute of Technology (MIT)",United States
2024-08-26,23.65,7041544704.0,Language & Audio,Aleph Alpha,Europe
2024-08-26,20.85,1200000000.0,Language & Audio,Nous Research,United States
2024-08-21,21.34,1300000000.0,Multimodal,Microsoft,United States
2024-08-20,18.23,24670596.0,Science & Engineering,"University of Florida,Sichuan University,Shihezi University,University of Macau,University of Texas Health Science Center",United States
2024-08-19,21.08,1500000000.0,Language & Audio,"Carnegie Mellon University (CMU),Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),Cartesia",United States
2024-08-16,21.38,4000000000.0,Multimodal,"Salesforce Research,University of Washington",United States
2024-08-12,23.86,8000000000.0,Science & Engineering,University of Siena,Europe
2024-08-06,24.48,72000000000.0,Multimodal,"ByteDance,Nanyang Technological University,Chinese University of Hong Kong (CUHK),Hong Kong University of Science and Technology (HKUST)",China
2024-07-29,23.65,2730000000.0,Language & Audio,Apple,United States
2024-07-29,22.09,224400000.0,Multimodal,Meta AI,United States
2024-07-29,21.73,232000000.0,Vision & Media,Microsoft,United States
2024-07-29,22.09,771000000.0,Vision & Media,Microsoft,United States
2024-07-24,25.33,123000000000.0,Language & Audio,Mistral AI,Europe
2024-07-23,25.58,405000000000.0,Language & Audio,Meta AI,United States
2024-07-23,24.9,70000000000.0,Language & Audio,Meta AI,United States
2024-07-23,24.09,8000000000.0,Language & Audio,Meta AI,United States
2024-07-20,23.02,7000000000.0,Language & Audio,Apple,United States
2024-07-15,20.53,186000000.0,Science & Engineering,University of Exeter,Europe
2024-07-12,10.59,2176.0,Science & Engineering,"Sun Yat-sen University,University of California Irvine,Guangdong Provincial People's Hospital,Guangdong Academy of Medical Sciences",China
2024-07-10,22.03,3000000000.0,Vision & Media,Google DeepMind,United States
2024-07-10,19.62,150000000.0,Language & Audio,Prime Intellect,United States
2024-07-10,20.78,1100000000.0,Language & Audio,Prime Intellect,United States
2024-06-25,24.03,98500000000.0,Science & Engineering,"EvolutionaryScale,University of California (UC) Berkeley",United States
2024-06-25,21.43,1400000000.0,Science & Engineering,"EvolutionaryScale,University of California (UC) Berkeley",United States
2024-06-24,23.64,9000000000.0,Language & Audio,Google DeepMind,United States
2024-06-24,24.32,27000000000.0,Language & Audio,Google DeepMind,United States
2024-06-24,22.49,2600000000.0,Language & Audio,Google DeepMind,United States
2024-06-17,24.11,236000000000.0,Language & Audio,DeepSeek,China
2024-06-17,23.23,7000000000.0,Multimodal,"Alibaba,Nanjing University",China
2024-06-15,23.64,38800000000.0,Language & Audio,China Mobile,China
2024-06-14,25.26,340000000000.0,Language & Audio,NVIDIA,United States
2024-06-13,23.04,7188100000.0,Multimodal,"Stanford University,University of California (UC) Berkeley,Toyota Research Institute,Google DeepMind,Massachusetts Institute of Technology (MIT),Physical Intelligence",United States
2024-06-12,23.26,8660000000.0,Language & Audio,NVIDIA,United States
2024-06-12,22.56,3000000000.0,Multimodal,"Infinigence AI,Tsinghua University,Shanghai Jiao Tong University",China
2024-06-11,22.86,3800000000.0,Language & Audio,"Microsoft,University of Illinois Urbana-Champaign (UIUC)",United States
2024-06-11,21.24,307000000.0,Vision & Media,"ByteDance,Technical University of Munich",China
2024-06-07,24.48,72710000000.0,Language & Audio,Alibaba,China
2024-06-07,23.47,7000000000.0,Language & Audio,Alibaba,China
2024-06-07,23.58,57000000000.0,Language & Audio,Alibaba,China
2024-06-07,22.8,1500000000.0,Language & Audio,Alibaba,China
2024-06-07,22.56,500000000.0,Language & Audio,Alibaba,China
2024-06-03,22.2,2442057984.0,Language & Audio,"Tsinghua University,ModelBest",China
2024-06-03,21.9,1247442432.0,Language & Audio,"Tsinghua University,ModelBest",China
2024-06-02,20.71,35000000.0,Science & Engineering,"AIRI Artificial Intelligence Research Institute,Skolkovo Institute of Science and Technology,Belozersky Institute of Physio-Chemical Biology,Ligand Pro",Europe
2024-05-31,21.69,2700000000.0,Language & Audio,"Princeton University,Carnegie Mellon University (CMU)",United States
2024-05-31,23.48,20000000000.0,Language & Audio,IBM Research,United States
2024-05-30,22.49,1500000000.0,Multimodal,"Shanghai Tech University,Deemos Technology,Huazhong University of Science and Technology",China
2024-05-28,21.66,1300000000.0,Science & Engineering,Microsoft Research,United States
2024-05-28,23.61,15800000000.0,Language & Audio,Nanbeige LLM Lab,China
2024-05-26,22.95,7000000000.0,Language & Audio,Zyphra,United States
2024-05-24,20.51,15700000.0,Science & Engineering,"Columbia University,Rutgers University",United States
2024-05-23,17.17,29500000.0,Vision & Media,Tsinghua University,China
2024-05-22,23.15,7000000000.0,Language & Audio,360 Security Technology,China
2024-05-20,20.77,93000000.0,Robotics & Games,"University of California (UC) Berkeley,Stanford University,Carnegie Mellon University (CMU),DeepMind",United States
2024-05-17,20.81,110000000.0,Science & Engineering,"Shanghai Jiao Tong University,Shanghai AI Lab,East China University of Science and Technology",China
2024-05-16,24.22,34000000000.0,Multimodal,Facebook AI Research,United States
2024-05-16,23.52,7000000000.0,Multimodal,Facebook AI Research,United States
2024-05-15,19.03,67000000.0,Science & Engineering,"Prescient Design,Genentech",United States
2024-05-13,24.26,100000000000.0,Language & Audio,01.AI,China
2024-05-13,23.87,34000000000.0,Language & Audio,01.AI,China
2024-05-13,23.28,8830000000.0,Language & Audio,01.AI,China
2024-05-10,16.21,4500000.0,Science & Engineering,Microsoft Research AI for Science,United States
2024-05-10,20.05,182000000.0,Science & Engineering,Microsoft Research AI for Science,United States
2024-05-07,24.01,236000000000.0,Language & Audio,DeepSeek,China
2024-05-07,18.41,1422600000.0,Language & Audio,Johannes Kepler University Linz,Europe
2024-05-06,22.2,500000000000.0,Language & Audio,Microsoft,United States
2024-05-03,21.36,13493916736.0,Multimodal,"NVIDIA,Massachusetts Institute of Technology (MIT)",United States
2024-05-02,22.02,1080000000.0,Language & Audio,Apple,United States
2024-05-02,22.53,3040000000.0,Language & Audio,Apple,United States
2024-05-02,21.8,450000000.0,Language & Audio,Apple,United States
2024-05-02,21.44,270000000.0,Language & Audio,Apple,United States
2024-04-30,23.58,6700000000.0,Language & Audio,Facebook AI Research,United States
2024-04-30,23.19,13000000000.0,Language & Audio,Facebook AI Research,United States
2024-04-30,21.88,104000000.0,Science & Engineering,Peking University,China
2024-04-24,23.58,480000000000.0,Language & Audio,Snowflake,United States
2024-04-23,22.88,3800000000.0,Language & Audio,Microsoft,United States
2024-04-23,23.61,14000000000.0,Language & Audio,Microsoft,United States
2024-04-23,23.33,7400000000.0,Language & Audio,Microsoft,United States
2024-04-23,22.57,3800000000.0,Language & Audio,Microsoft,United States
2024-04-23,22.94,4200000000.0,Vision & Media,Microsoft,United States
2024-04-23,23.48,60800000000.0,Language & Audio,Microsoft,United States
2024-04-19,22.79,650000000.0,Science & Engineering,"Zhejiang University (ZJU),Westlake University",China
2024-04-18,24.9,70000000000.0,Language & Audio,Meta AI,United States
2024-04-18,23.86,8000000000.0,Language & Audio,Meta AI,United States
2024-04-18,22.4,1740000000.0,Language & Audio,Sber,Europe
2024-04-18,23.28,7000000000.0,Multimodal,Reka AI,United States
2024-04-17,24.37,141000000000.0,Language & Audio,Mistral AI,Europe
2024-04-15,24.92,67000000000.0,Multimodal,Reka AI,United States
2024-04-15,23.8,21000000000.0,Multimodal,Reka AI,United States
2024-04-11,21.24,2900000000.0,Language & Audio,"Shanghai AI Lab,Massachusetts Institute of Technology (MIT),Taptap",China
2024-04-11,21.78,1000000000.0,Language & Audio,"Shanghai AI Lab,Massachusetts Institute of Technology (MIT),Taptap",China
2024-04-08,23.46,12143605760.0,Language & Audio,Stability AI,Europe
2024-04-08,19.91,2300000000.0,Vision & Media,Yandex,Europe
2024-04-08,22.93,6950000000.0,Language & Audio,"SambaNova Systems, Inc",United States
2024-04-08,23.91,70000000000.0,Language & Audio,"SambaNova Systems, Inc",United States
2024-04-05,20.86,35000000.0,Science & Engineering,"Peking University,Nanjing University,Tsinghua University,PharMolix",China
2024-04-04,23.41,33000000000.0,Language & Audio,"Silo AI,University of Turku",Europe
2024-04-02,20.0,3000000000.0,Language & Audio,"Google DeepMind,McGill University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms)",United States
2024-04-01,22.13,149700000.0,Vision & Media,Apple,United States
2024-04-01,22.62,7000000000.0,Language & Audio,China Telecom,China
2024-04-01,22.16,3000000000.0,Language & Audio,China Telecom,China
2024-04-01,22.94,12000000000.0,Language & Audio,China Telecom,China
2024-03-27,24.41,132000000000.0,Language & Audio,Databricks,United States
2024-03-24,21.49,3000000000.0,Science & Engineering,"Technical University of Munich,Seoul National University,Institute for Advanced Study,TUM School of Life Sciences Weihenstephan",Europe
2024-03-17,21.32,86000000.0,Science & Engineering,"Microsoft Research,Syngentech,Tsinghua University",United States
2024-03-14,23.69,30000000000.0,Multimodal,Apple,United States
2024-03-11,20.38,8000000000.0,Multimodal,Covariant,United States
2024-03-08,23.01,7000000000.0,Multimodal,DeepSeek,China
2024-03-08,21.94,1300000000.0,Multimodal,DeepSeek,China
2024-02-29,23.59,15000000000.0,Language & Audio,"Hugging Face,ServiceNow,NVIDIA,BigCode",United States
2024-02-29,23.19,7000000000.0,Language & Audio,"Hugging Face,ServiceNow,NVIDIA,BigCode",United States
2024-02-29,22.77,3000000000.0,Language & Audio,"Hugging Face,ServiceNow,NVIDIA,BigCode",United States
2024-02-29,22.2,14000000000.0,Language & Audio,Google DeepMind,United States
2024-02-29,21.6,7000000000.0,Language & Audio,Google DeepMind,United States
2024-02-29,21.02,650000000.0,Science & Engineering,"University of Zagreb,Genome Institute of Singapore,Bioinformatics Institute",Europe
2024-02-27,22.3,7000000000.0,Science & Engineering,"Stanford University,University of California (UC) Berkeley,Together",United States
2024-02-27,22.46,70000000000.0,Language & Audio,"University of Chinese Academy of Sciences,Microsoft Research",China
2024-02-27,23.88,15000000000.0,Language & Audio,NVIDIA,United States
2024-02-26,22.92,7000000000.0,Science & Engineering,"Peking University,Peng Cheng Laboratory",China
2024-02-24,23.49,8540000000.0,Language & Audio,Google,United States
2024-02-23,23.44,175000000000.0,Language & Audio,"ByteDance,Peking University",China
2024-02-23,23.99,530000000000.0,Language & Audio,"ByteDance,Peking University",China
2024-02-23,24.59,530000000000.0,Language & Audio,"ByteDance,Peking University",China
2024-02-23,22.82,10700000000.0,Multimodal,Google DeepMind,United States
2024-02-22,22.7,8000000000.0,Vision & Media,Stability AI,Europe
2024-02-21,23.49,8538074112.0,Language & Audio,Google DeepMind,United States
2024-02-21,22.65,2506434560.0,Language & Audio,Google DeepMind,United States
2024-02-15,21.21,630000000.0,Vision & Media,Meta AI,United States
